period,result_id,outcome_status,human_minutes
baseline,b-0001,ready_to_use,3
baseline,b-0002,ready_to_use,3
baseline,b-0003,ready_to_use,3
baseline,b-0004,ready_to_use,3
baseline,b-0005,ready_to_use,3
baseline,b-0006,ready_to_use,3
baseline,b-0007,ready_to_use,3
baseline,b-0008,ready_to_use,3
baseline,b-0009,ready_to_use,3
baseline,b-0010,ready_to_use,3
baseline,b-0011,ready_to_use,3
baseline,b-0012,ready_to_use,3
baseline,b-0013,ready_to_use,3
baseline,b-0014,ready_to_use,3
baseline,b-0015,ready_to_use,3
baseline,b-0016,ready_to_use,3
baseline,b-0017,ready_to_use,3
baseline,b-0018,ready_to_use,3
baseline,b-0019,ready_to_use,3
baseline,b-0020,ready_to_use,3
baseline,b-0021,ready_to_use,3
baseline,b-0022,ready_to_use,3
baseline,b-0023,ready_to_use,3
baseline,b-0024,ready_to_use,3
baseline,b-0025,ready_to_use,3
baseline,b-0026,ready_to_use,3
baseline,b-0027,ready_to_use,3
baseline,b-0028,ready_to_use,3
baseline,b-0029,ready_to_use,3
baseline,b-0030,ready_to_use,3
baseline,b-0031,ready_to_use,3
baseline,b-0032,ready_to_use,3
baseline,b-0033,ready_to_use,3
baseline,b-0034,ready_to_use,3
baseline,b-0035,ready_to_use,3
baseline,b-0036,ready_to_use,3
baseline,b-0037,ready_to_use,3
baseline,b-0038,ready_to_use,3
baseline,b-0039,ready_to_use,3
baseline,b-0040,ready_to_use,3
baseline,b-0041,ready_to_use,3
baseline,b-0042,ready_to_use,3
baseline,b-0043,ready_to_use,3
baseline,b-0044,ready_to_use,3
baseline,b-0045,ready_to_use,3
baseline,b-0046,ready_to_use,3
baseline,b-0047,ready_to_use,3
baseline,b-0048,ready_to_use,3
baseline,b-0049,ready_to_use,3
baseline,b-0050,ready_to_use,3
baseline,b-0051,ready_to_use,3
baseline,b-0052,ready_to_use,3
baseline,b-0053,ready_to_use,3
baseline,b-0054,ready_to_use,3
baseline,b-0055,ready_to_use,3
baseline,b-0056,ready_to_use,3
baseline,b-0057,ready_to_use,3
baseline,b-0058,ready_to_use,3
baseline,b-0059,ready_to_use,3
baseline,b-0060,ready_to_use,3
baseline,b-0061,ready_to_use,3
baseline,b-0062,ready_to_use,3
baseline,b-0063,ready_to_use,3
baseline,b-0064,ready_to_use,3
baseline,b-0065,ready_to_use,3
baseline,b-0066,ready_to_use,3
baseline,b-0067,ready_to_use,3
baseline,b-0068,ready_to_use,3
baseline,b-0069,ready_to_use,3
baseline,b-0070,ready_to_use,3
baseline,b-0071,ready_to_use,3
baseline,b-0072,ready_to_use,3
baseline,b-0073,ready_to_use,3
baseline,b-0074,ready_to_use,3
baseline,b-0075,ready_to_use,3
baseline,b-0076,ready_to_use,3
baseline,b-0077,ready_to_use,3
baseline,b-0078,ready_to_use,3
baseline,b-0079,ready_to_use,3
baseline,b-0080,ready_to_use,3
baseline,b-0081,ready_to_use,3
baseline,b-0082,ready_to_use,3
baseline,b-0083,ready_to_use,3
baseline,b-0084,ready_to_use,3
baseline,b-0085,ready_to_use,3
baseline,b-0086,ready_to_use,3
baseline,b-0087,ready_to_use,3
baseline,b-0088,ready_to_use,3
baseline,b-0089,ready_to_use,3
baseline,b-0090,ready_to_use,3
baseline,b-0091,ready_to_use,3
baseline,b-0092,ready_to_use,3
baseline,b-0093,ready_to_use,3
baseline,b-0094,ready_to_use,3
baseline,b-0095,ready_to_use,3
baseline,b-0096,ready_to_use,3
baseline,b-0097,ready_to_use,3
baseline,b-0098,ready_to_use,3
baseline,b-0099,ready_to_use,3
baseline,b-0100,ready_to_use,3
baseline,b-0101,ready_to_use,3
baseline,b-0102,ready_to_use,3
baseline,b-0103,ready_to_use,3
baseline,b-0104,ready_to_use,3
baseline,b-0105,ready_to_use,3
baseline,b-0106,ready_to_use,3
baseline,b-0107,ready_to_use,3
baseline,b-0108,ready_to_use,3
baseline,b-0109,ready_to_use,3
baseline,b-0110,ready_to_use,3
baseline,b-0111,ready_to_use,3
baseline,b-0112,ready_to_use,3
baseline,b-0113,ready_to_use,3
baseline,b-0114,ready_to_use,3
baseline,b-0115,ready_to_use,3
baseline,b-0116,ready_to_use,3
baseline,b-0117,ready_to_use,3
baseline,b-0118,ready_to_use,3
baseline,b-0119,ready_to_use,3
baseline,b-0120,ready_to_use,3
baseline,b-0121,ready_to_use,3
